index,rtt_ns,server_latency_ns,addr
0,107856,0,0x38eae800
1,150158,0,0x38f4a540
2,944,0,0x38fe6280
3,1451,0,0x39081fc0
4,901,0,0x3911dd00
5,153355,0,0x391b9a40
6,1561,0,0x39255780
7,108168,0,0x3938d200
8,3844,0,0x39428f40
9,1749,0,0x394c4c80
10,1156,0,0x395609c0
11,592,0,0x395fc700
12,100026,0,0x39734180
13,712,0,0x397cfec0
14,566,0,0x3986bc00
15,882,0,0x39907940
16,548,0,0x399a3680
17,568,0,0x39a3f3c0
18,105246,0,0x39b76e40
19,788,0,0x39c12b80
20,813,0,0x39cae8c0
21,613,0,0x39d4a600
22,1949,0,0x39de6340
23,989,0,0x39e82080
24,1195,0,0x39f1ddc0
25,778,0,0x39fb9b00
26,745,0,0x3a055840
27,533,0,0x3a0f1580
28,613,0,0x3a18d2c0
29,748,0,0x3a229000
30,150648,0,0x3a2c4d40
31,1397,0,0x3a360a80
32,1977,0,0x3a3fc7c0
33,101685,0,0x3a534240
34,1399,0,0x3a5cff80
35,770,0,0x3a66bcc0
36,747,0,0x3a707a00
37,731,0,0x3a7a3740
38,566,0,0x3a83f480
39,543,0,0x3a8db1c0
40,589,0,0x3a976f00
41,766,0,0x3aa12c40
42,148740,0,0x3aaae980
43,3796,0,0x3ab4a6c0
44,2492,0,0x3abe6400
45,2563,0,0x3ac82140
46,778,0,0x3ad1de80
47,820,0,0x3adb9bc0
48,584,0,0x3ae55900
49,850,0,0x3aef1640
50,150085,0,0x3af8d380
51,483,0,0x3b0290c0
52,2360,0,0x3b0c4e00
53,765,0,0x3b160b40
54,2667,0,0x3b1fc880
55,100536,0,0x3b334300
56,1603,0,0x3b3d0040
57,2670,0,0x3b46bd80
58,2810,0,0x3b507ac0
59,939,0,0x3b5a3800
60,589,0,0x3b63f540
61,804,0,0x3b6db280
62,146041,0,0x3b776fc0
63,786,0,0x3b812d00
64,737,0,0x3b8aea40
65,561,0,0x3b94a780
66,713,0,0x3b9e64c0
67,536,0,0x3ba82200
68,550,0,0x3bb1df40
69,776,0,0x3bbb9c80
70,540,0,0x3bc559c0
71,746,0,0x3bcf1700
72,772,0,0x3bd8d440
73,520,0,0x3be29180
74,1269,0,0x3bec4ec0
75,98911,0,0x3bffc940
76,788,0,0x3c098680
77,733,0,0x3c1343c0
78,782,0,0x3c1d0100
79,769,0,0x3c26be40
80,734,0,0x3c307b80
81,578,0,0x3c3a38c0
82,539,0,0x3c43f600
83,585,0,0x3c4db340
84,717,0,0x3c577080
85,604,0,0x3c612dc0
86,750,0,0x3c6aeb00
87,521,0,0x3c74a840
88,1846,0,0x3c7e6580
89,782,0,0x3c8822c0
90,1839,0,0x3c91e000
91,94458,0,0x3ca55a80
92,730,0,0x3caf17c0
93,513,0,0x3cb8d500
94,743,0,0x3cc29240
95,538,0,0x3ccc4f80
96,560,0,0x3cd60cc0
97,793,0,0x3cdfca00
98,610,0,0x3ce98740
99,113489,0,0x3cfd01c0
100,685,0,0x3d06bf00
101,1685,0,0x3d107c40
102,2975,0,0x3d1a3980
103,108303,0,0x3d2db400
104,586,0,0x3d377140
105,515,0,0x3d412e80
106,2753,0,0x3d4aebc0
107,2721,0,0x3d54a900
108,2121,0,0x3d5e6640
109,2384,0,0x3d682380
110,92284,0,0x3d7b9e00
111,1927,0,0x3d855b40
112,757,0,0x3d8f1880
113,807,0,0x3d98d5c0
114,742,0,0x3da29300
115,780,0,0x3dac5040
116,7079,0,0x3db60d80
117,985,0,0x3dbfcac0
118,93688,0,0x3dd34540
119,742,0,0x3ddd0280
120,529,0,0x3de6bfc0
121,618,0,0x3df07d00
122,745,0,0x3dfa3a40
123,518,0,0x3e03f780
124,1008,0,0x3e0db4c0
125,1702,0,0x3e177200
126,263,0,0x3e212f40
