index,rtt_ns,server_latency_ns,addr
0,446,0,0x38e12ac0
1,881,0,0x38eae800
2,433,0,0x38f4a540
3,494,0,0x38fe6280
4,433,0,0x39081fc0
5,1073,0,0x3911dd00
6,436,0,0x391b9a40
7,503,0,0x39255780
8,438,0,0x392f14c0
9,956,0,0x3938d200
10,681,0,0x39428f40
11,528,0,0x394c4c80
12,498,0,0x395609c0
13,456,0,0x395fc700
14,434,0,0x39698440
15,406,0,0x39734180
16,909,0,0x397cfec0
17,681,0,0x3986bc00
18,523,0,0x39907940
19,438,0,0x399a3680
20,417,0,0x39a3f3c0
21,449,0,0x39adb100
22,508,0,0x39b76e40
23,436,0,0x39c12b80
24,426,0,0x39cae8c0
25,943,0,0x39d4a600
26,438,0,0x39de6340
27,916,0,0x39e82080
28,437,0,0x39f1ddc0
29,413,0,0x39fb9b00
30,424,0,0x3a055840
31,558,0,0x3a0f1580
32,527,0,0x3a18d2c0
33,509,0,0x3a229000
34,494,0,0x3a2c4d40
35,444,0,0x3a360a80
36,414,0,0x3a3fc7c0
37,705,0,0x3a498500
38,402,0,0x3a534240
39,414,0,0x3a5cff80
40,421,0,0x3a66bcc0
41,416,0,0x3a707a00
42,417,0,0x3a7a3740
43,432,0,0x3a83f480
44,428,0,0x3a8db1c0
45,409,0,0x3a976f00
46,423,0,0x3aa12c40
47,423,0,0x3aaae980
48,833,0,0x3ab4a6c0
49,816,0,0x3abe6400
50,665,0,0x3ac82140
51,773,0,0x3ad1de80
52,415,0,0x3adb9bc0
53,457,0,0x3ae55900
54,523,0,0x3aef1640
55,436,0,0x3af8d380
56,418,0,0x3b0290c0
57,456,0,0x3b0c4e00
58,435,0,0x3b160b40
59,975,0,0x3b1fc880
60,433,0,0x3b2985c0
61,406,0,0x3b334300
62,414,0,0x3b3d0040
63,530,0,0x3b46bd80
64,409,0,0x3b507ac0
65,421,0,0x3b5a3800
66,418,0,0x3b63f540
67,418,0,0x3b6db280
68,416,0,0x3b776fc0
69,417,0,0x3b812d00
70,424,0,0x3b8aea40
71,408,0,0x3b94a780
72,516,0,0x3b9e64c0
73,411,0,0x3ba82200
74,723,0,0x3bb1df40
75,408,0,0x3bbb9c80
76,995,0,0x3bc559c0
77,410,0,0x3bcf1700
78,414,0,0x3bd8d440
79,436,0,0x3be29180
80,423,0,0x3bec4ec0
81,408,0,0x3bf60c00
82,482,0,0x3bffc940
83,413,0,0x3c098680
84,423,0,0x3c1343c0
85,414,0,0x3c1d0100
86,380,0,0x3c26be40
87,489,0,0x3c307b80
88,426,0,0x3c3a38c0
89,528,0,0x3c43f600
90,381,0,0x3c4db340
91,533,0,0x3c577080
92,510,0,0x3c612dc0
93,410,0,0x3c6aeb00
94,419,0,0x3c74a840
95,421,0,0x3c7e6580
96,387,0,0x3c8822c0
97,431,0,0x3c91e000
98,421,0,0x3c9b9d40
99,508,0,0x3ca55a80
100,440,0,0x3caf17c0
101,511,0,0x3cb8d500
102,491,0,0x3cc29240
103,441,0,0x3ccc4f80
104,423,0,0x3cd60cc0
105,413,0,0x3cdfca00
106,422,0,0x3ce98740
107,411,0,0x3cf34480
108,416,0,0x3cfd01c0
109,420,0,0x3d06bf00
110,731,0,0x3d107c40
111,410,0,0x3d1a3980
112,411,0,0x3d23f6c0
113,416,0,0x3d2db400
114,408,0,0x3d377140
115,418,0,0x3d412e80
116,413,0,0x3d4aebc0
117,424,0,0x3d54a900
118,422,0,0x3d5e6640
119,801,0,0x3d682380
120,764,0,0x3d71e0c0
121,438,0,0x3d7b9e00
122,415,0,0x3d855b40
123,423,0,0x3d8f1880
124,425,0,0x3d98d5c0
125,402,0,0x3da29300
126,389,0,0x3dac5040
127,422,0,0x3db60d80
128,428,0,0x3dbfcac0
129,419,0,0x3dc98800
130,420,0,0x3dd34540
131,1369,0,0x3ddd0280
132,538,0,0x3de6bfc0
133,518,0,0x3df07d00
134,435,0,0x3dfa3a40
135,819,0,0x3e03f780
136,700,0,0x3e0db4c0
137,416,0,0x3e177200
138,403,0,0x3e212f40
139,539,0,0x3e2aec80
140,434,0,0x3e34a9c0
141,419,0,0x3e3e6700
142,419,0,0x3e482440
143,400,0,0x3e51e180
144,978,0,0x3e5b9ec0
145,758,0,0x3e655c00
146,436,0,0x3e6f1940
147,538,0,0x3e78d680
148,417,0,0x3e8293c0
149,900,0,0x3e8c5100
150,497,0,0x3e960e40
151,409,0,0x3e9fcb80
152,765,0,0x3ea988c0
153,536,0,0x3eb34600
154,853,0,0x3ebd0340
155,433,0,0x3ec6c080
156,530,0,0x3ed07dc0
157,510,0,0x3eda3b00
158,451,0,0x3ee3f840
159,568,0,0x3eedb580
160,497,0,0x3ef772c0
161,437,0,0x3f013000
162,511,0,0x3f0aed40
163,441,0,0x3f14aa80
164,511,0,0x3f1e67c0
