index,rtt_ns,server_latency_ns,addr
0,37703,8,0xc168440
1,41401,8,0xc204180
2,37976,8,0xc29fec0
3,42642,8,0xc33bc00
4,37661,8,0xc3d7940
5,39541,8,0xc473680
6,37951,8,0xc50f3c0
7,36798,8,0xc5ab100
8,37586,8,0xc646e40
9,38772,8,0xc6e2b80
10,38794,8,0xc77e8c0
11,38138,8,0xc81a600
12,36597,8,0xc8b6340
13,38910,8,0xc952080
14,38125,8,0xc9eddc0
15,37279,8,0xca89b00
16,36834,8,0xcb25840
17,39461,8,0xcbc1580
18,38298,8,0xcc5d2c0
19,41377,8,0xccf9000
20,37626,8,0xcd94d40
21,39090,8,0xce30a80
22,37625,8,0xcecc7c0
23,36946,8,0xcf68500
24,38276,8,0xd004240
25,39260,8,0xd09ff80
26,38399,8,0xd13bcc0
27,39039,8,0xd1d7a00
28,37194,8,0xd273740
29,38817,8,0xd30f480
30,38286,8,0xd3ab1c0
31,37480,8,0xd446f00
32,36934,8,0xd4e2c40
33,39572,8,0xd57e980
34,38390,8,0xd61a6c0
35,42919,8,0xd6b6400
36,37695,8,0xd752140
37,38810,8,0xd7ede80
38,37601,8,0xd889bc0
39,36822,8,0xd925900
40,37630,8,0xd9c1640
41,39375,8,0xda5d380
42,39194,8,0xdaf90c0
43,37809,8,0xdb94e00
44,38344,8,0xdc30b40
45,38479,8,0xdccc880
46,37574,8,0xdd685c0
47,37898,8,0xde04300
48,37105,8,0xdea0040
49,38690,8,0xdf3bd80
50,39169,8,0xdfd7ac0
51,43693,8,0xe073800
52,37870,8,0xe10f540
53,37708,8,0xe1ab280
54,38004,8,0xe246fc0
55,37917,8,0xe2e2d00
56,37694,8,0xe37ea40
57,38419,8,0xe41a780
58,37468,8,0xe4b64c0
59,38152,8,0xe552200
60,37453,8,0xe5edf40
61,38317,8,0xe689c80
62,49093,8,0xe7259c0
63,36379,8,0xe7c1700
64,35144,8,0xe85d440
65,37022,8,0xe8f9180
66,43113,8,0xe994ec0
67,43081,8,0xea30c00
68,37384,8,0xeacc940
69,36569,8,0xeb68680
70,36978,8,0xec043c0
71,35413,8,0xeca0100
72,36102,8,0xed3be40
73,36981,8,0xedd7b80
74,36483,8,0xee738c0
75,36386,8,0xef0f600
76,36796,8,0xefab340
77,37305,8,0xf047080
78,36648,8,0xf0e2dc0
79,36371,8,0xf17eb00
80,36634,8,0xf21a840
81,36794,8,0xf2b6580
82,37411,8,0xf3522c0
83,43423,8,0xf3ee000
84,36317,8,0xf489d40
85,37312,8,0xf525a80
86,36790,8,0xf5c17c0
87,35822,8,0xf65d500
88,35999,8,0xf6f9240
89,37096,8,0xf794f80
90,37560,8,0xf830cc0
91,36889,8,0xf8cca00
92,35797,8,0xf968740
