rank_frac,cum_access_frac
0.00195312,0.69388
0.00390625,0.743727
0.00585938,0.772865
0.0078125,0.793264
0.00976562,0.808495
0.0117188,0.820686
0.0136719,0.830775
0.015625,0.839255
0.0175781,0.846559
0.0195312,0.852889
0.0214844,0.85847
0.0234375,0.863446
0.0253906,0.867923
0.0273438,0.871965
0.0292969,0.875636
0.03125,0.879003
0.0332031,0.882088
0.0351562,0.884942
0.0371094,0.887587
0.0390625,0.890037
0.0410156,0.892321
0.0429688,0.894446
0.0449219,0.896444
0.046875,0.898328
0.0488281,0.900091
0.0507812,0.901753
0.0527344,0.903339
0.0546875,0.904847
0.0566406,0.906261
0.0585938,0.907643
0.0605469,0.908915
0.0625,0.910172
0.0644531,0.911353
0.0664062,0.912484
0.0683594,0.9136
0.0703125,0.914605
0.0722656,0.915611
0.0742188,0.916616
0.0761719,0.917503
0.078125,0.918383
0.0800781,0.919263
0.0820312,0.920138
0.0839844,0.920892
0.0859375,0.921647
0.0878906,0.9224
0.0898438,0.923154
0.0917969,0.923906
0.09375,0.924534
0.0957031,0.925163
0.0976562,0.925791
0.0996094,0.926419
0.101562,0.927048
0.103516,0.927676
0.105469,0.928288
0.107422,0.928791
0.109375,0.929293
0.111328,0.929796
0.113281,0.930299
0.115234,0.930801
0.117188,0.931304
0.119141,0.931807
0.121094,0.932309
0.123047,0.932812
0.125,0.933315
0.126953,0.933737
0.128906,0.934114
0.130859,0.934491
0.132812,0.934868
0.134766,0.935245
0.136719,0.935622
0.138672,0.935999
0.140625,0.936376
0.142578,0.936753
0.144531,0.93713
0.146484,0.937507
0.148438,0.937884
0.150391,0.938261
0.152344,0.938638
0.154297,0.939015
0.15625,0.939392
0.158203,0.939769
0.160156,0.940146
0.162109,0.940472
0.164062,0.940724
0.166016,0.940975
0.167969,0.941226
0.169922,0.941478
0.171875,0.941729
0.173828,0.94198
0.175781,0.942232
0.177734,0.942483
0.179688,0.942734
0.181641,0.942986
0.183594,0.943237
0.185547,0.943488
0.1875,0.94374
0.189453,0.943991
0.191406,0.944242
0.193359,0.944494
0.195312,0.944745
0.197266,0.944996
0.199219,0.945248
0.201172,0.945499
0.203125,0.94575
0.205078,0.946002
0.207031,0.946253
0.208984,0.946504
0.210938,0.946756
0.212891,0.947007
0.214844,0.947258
0.216797,0.94751
0.21875,0.947761
0.220703,0.948012
0.222656,0.948264
0.224609,0.948515
0.226562,0.948766
0.228516,0.949018
0.230469,0.949269
0.232422,0.94952
0.234375,0.949772
0.236328,0.950023
0.238281,0.950274
0.240234,0.950526
0.242188,0.950777
0.244141,0.951028
0.246094,0.95128
0.248047,0.951531
0.25,0.951744
0.251953,0.95187
0.253906,0.951996
0.255859,0.952121
0.257812,0.952247
0.259766,0.952373
0.261719,0.952498
0.263672,0.952624
0.265625,0.95275
0.267578,0.952875
0.269531,0.953001
0.271484,0.953127
0.273438,0.953252
0.275391,0.953378
0.277344,0.953504
0.279297,0.953629
0.28125,0.953755
0.283203,0.953881
0.285156,0.954006
0.287109,0.954132
0.289062,0.954258
0.291016,0.954383
0.292969,0.954509
0.294922,0.954635
0.296875,0.95476
0.298828,0.954886
0.300781,0.955012
0.302734,0.955137
0.304688,0.955263
0.306641,0.955389
0.308594,0.955514
0.310547,0.95564
0.3125,0.955766
0.314453,0.955891
0.316406,0.956017
0.318359,0.956143
0.320312,0.956268
0.322266,0.956394
0.324219,0.95652
0.326172,0.956645
0.328125,0.956771
0.330078,0.956897
0.332031,0.957022
0.333984,0.957148
0.335938,0.957274
0.337891,0.957399
0.339844,0.957525
0.341797,0.957651
0.34375,0.957776
0.345703,0.957902
0.347656,0.958028
0.349609,0.958153
0.351562,0.958279
0.353516,0.958405
0.355469,0.95853
0.357422,0.958656
0.359375,0.958782
0.361328,0.958907
0.363281,0.959033
0.365234,0.959159
0.367188,0.959284
0.369141,0.95941
0.371094,0.959536
0.373047,0.959661
0.375,0.959787
0.376953,0.959913
0.378906,0.960038
0.380859,0.960164
0.382812,0.96029
0.384766,0.960415
0.386719,0.960541
0.388672,0.960667
0.390625,0.960792
0.392578,0.960918
0.394531,0.961044
0.396484,0.961169
0.398438,0.961295
0.400391,0.961421
0.402344,0.961546
0.404297,0.961672
0.40625,0.961798
0.408203,0.961923
0.410156,0.962049
0.412109,0.962175
0.414062,0.9623
0.416016,0.962426
0.417969,0.962552
0.419922,0.962677
0.421875,0.962803
0.423828,0.962929
0.425781,0.963054
0.427734,0.96318
0.429688,0.963306
0.431641,0.963431
0.433594,0.963557
0.435547,0.963683
0.4375,0.963808
0.439453,0.963934
0.441406,0.96406
0.443359,0.964185
0.445312,0.964311
0.447266,0.964437
0.449219,0.964562
0.451172,0.964688
0.453125,0.964814
0.455078,0.964939
0.457031,0.965065
0.458984,0.965191
0.460938,0.965316
0.462891,0.965442
0.464844,0.965568
0.466797,0.965693
0.46875,0.965819
0.470703,0.965945
0.472656,0.96607
0.474609,0.966196
0.476562,0.966322
0.478516,0.966447
0.480469,0.966573
0.482422,0.966699
0.484375,0.966824
0.486328,0.96695
0.488281,0.967076
0.490234,0.967201
0.492188,0.967327
0.494141,0.967453
0.496094,0.967578
0.498047,0.967704
0.5,0.967829
0.501953,0.967955
0.503906,0.968081
0.505859,0.968206
0.507812,0.968332
0.509766,0.968458
0.511719,0.968583
0.513672,0.968709
0.515625,0.968835
0.517578,0.96896
0.519531,0.969086
0.521484,0.969212
0.523438,0.969337
0.525391,0.969463
0.527344,0.969589
0.529297,0.969714
0.53125,0.96984
0.533203,0.969966
0.535156,0.970091
0.537109,0.970217
0.539062,0.970343
0.541016,0.970468
0.542969,0.970594
0.544922,0.97072
0.546875,0.970845
0.548828,0.970971
0.550781,0.971097
0.552734,0.971222
0.554688,0.971348
0.556641,0.971474
0.558594,0.971599
0.560547,0.971725
0.5625,0.971851
0.564453,0.971976
0.566406,0.972102
