index,rtt_ns,server_latency_ns,addr
0,501,0,0xc168440
1,518,0,0xc204180
2,494,0,0xc29fec0
3,435,0,0xc33bc00
4,494,0,0xc3d7940
5,507,0,0xc473680
6,439,0,0xc50f3c0
7,530,0,0xc5ab100
8,434,0,0xc646e40
9,469,0,0xc6e2b80
10,1212,0,0xc77e8c0
11,573,0,0xc81a600
12,428,0,0xc8b6340
13,638,0,0xc952080
14,508,0,0xc9eddc0
15,776,0,0xca89b00
16,567,0,0xcb25840
17,886,0,0xcbc1580
18,551,0,0xcc5d2c0
19,528,0,0xccf9000
20,476,0,0xcd94d40
21,540,0,0xce30a80
22,473,0,0xcecc7c0
23,438,0,0xcf68500
24,399,0,0xd004240
25,415,0,0xd09ff80
26,595,0,0xd13bcc0
27,402,0,0xd1d7a00
28,518,0,0xd273740
29,530,0,0xd30f480
30,401,0,0xd3ab1c0
31,511,0,0xd446f00
32,541,0,0xd4e2c40
33,538,0,0xd57e980
34,500,0,0xd61a6c0
35,730,0,0xd6b6400
36,535,0,0xd752140
37,439,0,0xd7ede80
38,901,0,0xd889bc0
39,429,0,0xd925900
40,557,0,0xd9c1640
41,523,0,0xda5d380
42,432,0,0xdaf90c0
43,525,0,0xdb94e00
44,553,0,0xdc30b40
45,542,0,0xdccc880
46,522,0,0xdd685c0
47,458,0,0xde04300
48,549,0,0xdea0040
49,512,0,0xdf3bd80
50,441,0,0xdfd7ac0
51,511,0,0xe073800
52,500,0,0xe10f540
53,876,0,0xe1ab280
54,435,0,0xe246fc0
55,511,0,0xe2e2d00
56,431,0,0xe37ea40
57,547,0,0xe41a780
58,602,0,0xe4b64c0
59,537,0,0xe552200
60,499,0,0xe5edf40
61,465,0,0xe689c80
62,426,0,0xe7259c0
63,391,0,0xe7c1700
64,417,0,0xe85d440
65,576,0,0xe8f9180
66,696,0,0xe994ec0
67,530,0,0xea30c00
68,642,0,0xeacc940
69,447,0,0xeb68680
70,397,0,0xec043c0
71,527,0,0xeca0100
72,395,0,0xed3be40
73,462,0,0xedd7b80
74,515,0,0xee738c0
75,442,0,0xef0f600
76,511,0,0xefab340
77,507,0,0xf047080
78,431,0,0xf0e2dc0
79,810,0,0xf17eb00
80,533,0,0xf21a840
81,422,0,0xf2b6580
82,516,0,0xf3522c0
83,435,0,0xf3ee000
84,528,0,0xf489d40
85,776,0,0xf525a80
86,508,0,0xf5c17c0
87,506,0,0xf65d500
88,916,0,0xf6f9240
89,670,0,0xf794f80
90,493,0,0xf830cc0
91,517,0,0xf8cca00
92,451,0,0xf968740
93,533,0,0xfa04480
