index,rtt_ns,server_latency_ns,addr
0,30955,8,0xc168440
1,29909,8,0xc204180
2,29474,8,0xc29fec0
3,27851,8,0xc33bc00
4,29327,8,0xc3d7940
5,29718,8,0xc473680
6,30308,8,0xc50f3c0
7,28295,8,0xc5ab100
8,30190,8,0xc646e40
9,30838,8,0xc6e2b80
10,29845,8,0xc77e8c0
11,28475,8,0xc81a600
12,29648,8,0xc8b6340
13,31028,8,0xc952080
14,29087,8,0xc9eddc0
15,28888,8,0xca89b00
16,29979,8,0xcb25840
17,31130,8,0xcbc1580
18,29334,8,0xcc5d2c0
19,28289,8,0xccf9000
20,30301,8,0xcd94d40
21,30014,8,0xce30a80
22,28931,8,0xcecc7c0
23,28063,8,0xcf68500
24,30593,8,0xd004240
25,30837,8,0xd09ff80
26,29207,8,0xd13bcc0
27,29304,8,0xd1d7a00
28,30775,8,0xd273740
29,30293,8,0xd30f480
30,28936,8,0xd3ab1c0
31,28723,8,0xd446f00
32,29798,8,0xd4e2c40
33,30458,8,0xd57e980
34,29487,8,0xd61a6c0
35,28234,8,0xd6b6400
36,31028,8,0xd752140
37,30833,8,0xd7ede80
38,29183,8,0xd889bc0
39,28311,8,0xd925900
40,30951,8,0xd9c1640
41,31017,8,0xda5d380
42,29174,8,0xdaf90c0
43,28481,8,0xdb94e00
44,30808,8,0xdc30b40
45,30336,8,0xdccc880
46,29850,8,0xdd685c0
47,28017,8,0xde04300
48,28791,8,0xdea0040
49,29419,8,0xdf3bd80
50,27482,8,0xdfd7ac0
51,27540,8,0xe073800
52,29782,8,0xe10f540
53,29438,8,0xe1ab280
54,27478,8,0xe246fc0
55,26262,8,0xe2e2d00
56,39955,8,0xe37ea40
57,40140,8,0xe41a780
58,32882,8,0xe4b64c0
59,32709,8,0xe552200
60,28982,8,0xe5edf40
61,28872,8,0xe689c80
62,27347,8,0xe7259c0
63,27724,8,0xe7c1700
64,29247,8,0xe85d440
65,28321,8,0xe8f9180
66,27364,8,0xe994ec0
67,28091,8,0xea30c00
68,29794,8,0xeacc940
69,28469,8,0xeb68680
70,27922,8,0xec043c0
71,27638,8,0xeca0100
72,28626,8,0xed3be40
73,28966,8,0xedd7b80
74,27734,8,0xee738c0
75,26211,8,0xef0f600
76,28248,8,0xefab340
77,28766,8,0xf047080
78,27524,8,0xf0e2dc0
79,27497,8,0xf17eb00
80,29508,8,0xf21a840
81,28020,8,0xf2b6580
82,27461,8,0xf3522c0
83,26225,8,0xf3ee000
84,27803,8,0xf489d40
85,28084,8,0xf525a80
86,28187,8,0xf5c17c0
87,27762,8,0xf65d500
88,27545,8,0xf6f9240
89,29125,8,0xf794f80
90,27682,8,0xf830cc0
91,28002,8,0xf8cca00
92,28171,8,0xf968740
93,28465,8,0xfa04480
94,27985,8,0xfaa01c0
95,27861,8,0xfb3bf00
96,28945,8,0xfbd7c40
97,29032,8,0xfc73980
98,27738,8,0xfd0f6c0
99,27707,8,0xfdab400
100,29038,8,0xfe47140
101,28211,8,0xfee2e80
102,28083,8,0xff7ebc0
103,27086,8,0x1001a900
104,29475,8,0x100b6640
105,28527,8,0x10152380
106,27471,8,0x101ee0c0
107,27353,8,0x10289e00
108,27848,8,0x10325b40
109,29114,8,0x103c1880
110,27699,8,0x1045d5c0
111,27106,8,0x104f9300
112,28648,8,0x10595040
113,29046,8,0x10630d80
114,27879,8,0x106ccac0
115,26521,8,0x10768800
116,31490,8,0x10804540
117,28963,8,0x108a0280
118,27992,8,0x1093bfc0
119,27203,8,0x109d7d00
120,68607,8,0x10a73a40
121,35718,8,0x10b0f780
122,146352,8,0x10bab4c0
123,34331,8,0x10c47200
124,28969,8,0x10ce2f40
125,27530,8,0x10d7ec80
126,37051,8,0x10e1a9c0
127,29248,8,0x10eb6700
128,27753,8,0x10f52440
129,27737,8,0x10fee180
130,31666,8,0x11089ec0
131,29365,8,0x11125c00
132,28056,8,0x111c1940
133,27409,8,0x1125d680
134,30426,8,0x112f93c0
135,28298,8,0x11395100
136,27576,8,0x11430e40
137,27790,8,0x114ccb80
138,30041,8,0x115688c0
139,28438,8,0x11604600
140,27862,8,0x116a0340
141,27701,8,0x1173c080
142,29151,8,0x117d7dc0
143,29186,8,0x11873b00
144,28521,8,0x1190f840
145,27551,8,0x119ab580
146,29159,8,0x11a472c0
147,28972,8,0x11ae3000
148,28141,8,0x11b7ed40
149,27685,8,0x11c1aa80
150,31538,8,0x11cb67c0
151,28895,8,0x11d52500
152,29421,8,0x11dee240
153,27093,8,0x11e89f80
154,29506,8,0x11f25cc0
155,29558,8,0x11fc1a00
156,27413,8,0x1205d740
157,26366,8,0x120f9480
158,29034,8,0x121951c0
159,29257,8,0x12230f00
160,28395,8,0x122ccc40
161,27745,8,0x12368980
162,29315,8,0x124046c0
163,29178,8,0x124a0400
164,28683,8,0x1253c140
165,26930,8,0x125d7e80
166,29102,8,0x12673bc0
167,29163,8,0x1270f900
168,27057,8,0x127ab640
169,27152,8,0x12847380
170,29371,8,0x128e30c0
171,28999,8,0x1297ee00
172,27833,8,0x12a1ab40
173,27732,8,0x12ab6880
174,29798,8,0x12b525c0
175,28810,8,0x12bee300
176,28053,8,0x12c8a040
177,27085,8,0x12d25d80
178,30453,8,0x12dc1ac0
179,29411,8,0x12e5d800
180,28009,8,0x12ef9540
181,26565,8,0x12f95280
182,31121,8,0x13030fc0
183,29132,8,0x130ccd00
184,37529,8,0x13168a40
185,38371,8,0x13204780
186,47753,8,0x132a04c0
187,35576,8,0x1333c200
188,27569,8,0x133d7f40
189,26838,8,0x13473c80
190,29103,8,0x1350f9c0
