index,rtt_ns,server_latency_ns,addr
0,34987,8,0xc168440
1,39464,8,0xc204180
2,40969,8,0xc29fec0
3,36393,8,0xc33bc00
4,36517,8,0xc3d7940
5,36278,8,0xc473680
6,35619,8,0xc50f3c0
7,34802,8,0xc5ab100
8,37070,8,0xc646e40
9,36109,8,0xc6e2b80
10,37099,8,0xc77e8c0
11,35973,8,0xc81a600
12,35985,8,0xc8b6340
13,36322,8,0xc952080
14,37263,8,0xc9eddc0
15,37990,8,0xca89b00
16,36720,8,0xcb25840
17,36373,8,0xcbc1580
18,40698,8,0xcc5d2c0
19,36210,8,0xccf9000
20,36526,8,0xcd94d40
21,35743,8,0xce30a80
22,35738,8,0xcecc7c0
23,36692,8,0xcf68500
24,36786,8,0xd004240
25,36014,8,0xd09ff80
26,36435,8,0xd13bcc0
27,35587,8,0xd1d7a00
28,36532,8,0xd273740
29,37880,8,0xd30f480
30,35980,8,0xd3ab1c0
31,34801,8,0xd446f00
32,36782,8,0xd4e2c40
33,36573,8,0xd57e980
34,41303,8,0xd61a6c0
35,36365,8,0xd6b6400
36,36145,8,0xd752140
37,35718,8,0xd7ede80
38,35668,8,0xd889bc0
39,35270,8,0xd925900
40,36153,8,0xd9c1640
41,37492,8,0xda5d380
42,36690,8,0xdaf90c0
43,38425,8,0xdb94e00
44,37232,8,0xdc30b40
45,36875,8,0xdccc880
46,36223,8,0xdd685c0
47,35755,8,0xde04300
48,36713,8,0xdea0040
49,36488,8,0xdf3bd80
50,40148,8,0xdfd7ac0
51,36225,8,0xe073800
52,37304,8,0xe10f540
53,36336,8,0xe1ab280
54,40205,8,0xe246fc0
55,34876,8,0xe2e2d00
56,39018,8,0xe37ea40
57,43413,8,0xe41a780
58,37454,8,0xe4b64c0
59,35417,8,0xe552200
60,35978,8,0xe5edf40
61,35755,8,0xe689c80
62,35996,8,0xe7259c0
63,35238,8,0xe7c1700
64,36097,8,0xe85d440
65,35819,8,0xe8f9180
66,47392,8,0xe994ec0
67,38135,8,0xea30c00
68,36590,8,0xeacc940
69,35409,8,0xeb68680
70,38431,8,0xec043c0
71,35776,8,0xeca0100
72,36030,8,0xed3be40
73,35713,8,0xedd7b80
74,35352,8,0xee738c0
75,36136,8,0xef0f600
76,36704,8,0xefab340
77,35510,8,0xf047080
78,34882,8,0xf0e2dc0
79,36307,8,0xf17eb00
80,36038,8,0xf21a840
81,35509,8,0xf2b6580
82,40135,8,0xf3522c0
83,36922,8,0xf3ee000
84,38075,8,0xf489d40
85,35516,8,0xf525a80
86,35853,8,0xf5c17c0
87,36998,8,0xf65d500
88,36195,8,0xf6f9240
89,36243,8,0xf794f80
90,35834,8,0xf830cc0
91,36586,8,0xf8cca00
92,35823,8,0xf968740
93,36565,8,0xfa04480
94,34522,8,0xfaa01c0
95,36732,8,0xfb3bf00
96,36417,8,0xfbd7c40
97,36369,8,0xfc73980
98,41744,8,0xfd0f6c0
99,36651,8,0xfdab400
100,36156,8,0xfe47140
101,40538,8,0xfee2e80
102,35987,8,0xff7ebc0
103,37034,8,0x1001a900
104,35484,8,0x100b6640
105,41102,8,0x10152380
106,32830,8,0x101ee0c0
107,34668,8,0x10289e00
108,33650,8,0x10325b40
109,33345,8,0x103c1880
110,32759,8,0x1045d5c0
111,34103,8,0x104f9300
112,33452,8,0x10595040
113,35827,8,0x10630d80
114,38061,8,0x106ccac0
115,33688,8,0x10768800
116,34419,8,0x10804540
117,33070,8,0x108a0280
118,36303,8,0x1093bfc0
119,33827,8,0x109d7d00
120,34466,8,0x10a73a40
121,34417,8,0x10b0f780
122,34235,8,0x10bab4c0
123,34038,8,0x10c47200
124,33490,8,0x10ce2f40
125,33368,8,0x10d7ec80
126,34931,8,0x10e1a9c0
127,34336,8,0x10eb6700
128,33930,8,0x10f52440
129,33503,8,0x10fee180
130,37434,8,0x11089ec0
131,34312,8,0x11125c00
132,33315,8,0x111c1940
133,33246,8,0x1125d680
134,33542,8,0x112f93c0
135,34454,8,0x11395100
136,33590,8,0x11430e40
137,34421,8,0x114ccb80
138,32568,8,0x115688c0
139,34279,8,0x11604600
140,35803,8,0x116a0340
141,33485,8,0x1173c080
142,33018,8,0x117d7dc0
143,41018,8,0x11873b00
144,34406,8,0x1190f840
145,32986,8,0x119ab580
146,37193,8,0x11a472c0
147,34612,8,0x11ae3000
148,33284,8,0x11b7ed40
149,34270,8,0x11c1aa80
150,33472,8,0x11cb67c0
151,34655,8,0x11d52500
152,33853,8,0x11dee240
153,34097,8,0x11e89f80
154,34986,8,0x11f25cc0
155,34841,8,0x11fc1a00
156,33843,8,0x1205d740
